Error Code,Error Type,Form Name,Packet,Variable Name,Type of Check,Name of the Test,Full Test Description,List of form(s) compared in this test,List of variable(s) compared in this test
a1-fvp-c-002,Error,A1,F - UDS Follow-up Visit,FRMDATEA1,Conformity,FRMDATEA1 conforms,Q0a. FRMDATEA1 (A1 form date) must be a date formatted mm/dd/yyyy or yyyy/mm/dd,,
a1-fvp-c-004,Error,A1,F - UDS Follow-up Visit,LANGA1,Conformity,LANGA1 conforms,Q0c. LANGA1 (Language of A1 administration) must be an integer between 1-2,,
a1-fvp-c-006,Error,A1,F - UDS Follow-up Visit,MODEA1,Conformity,MODEA1 conforms,Q0d. MODEA1 (A1 in person or remote) must be an integer between 1-2,,
a1-fvp-c-009,Error,A1,F - UDS Follow-up Visit,RMREASA1,Conformity,RMREASA1 conforms,Q0d1. RMREASA1 (Reason for remote A1) must be an integer between 1-5,,
a1-fvp-c-012,Error,A1,F - UDS Follow-up Visit,RMMODEA1,Conformity,RMMODEA1 conforms,Q0d1a. RMMODEA1 (Mode of remote A1 administration) must be an integer between 1-4,,
a1-fvp-c-014,Error,A1,F - UDS Follow-up Visit,ADMINA1,Conformity,ADMINA1 conforms,Q0e. ADMINA1 (A1 administration) must be an integer between 1-2,,
a1-fvp-c-015,Error,A1,F - UDS Follow-up Visit,GENMAN,Conformity,GENMAN conforms,Q1a. GENMAN (gender man) must be blank or 1,,
a1-fvp-c-016,Error,A1,F - UDS Follow-up Visit,GENWOMAN,Conformity,GENWOMAN conforms,Q1b. GENWOMAN (gender woman) must be blank or 1,,
a1-fvp-c-017,Error,A1,F - UDS Follow-up Visit,GENTRMAN,Conformity,GENTRMAN conforms,Q1c. GENTRMAN (gender transman) must be blank or 1,,
a1-fvp-c-018,Error,A1,F - UDS Follow-up Visit,GENTRWOMAN,Conformity,GENTRWOMAN conforms,Q1d. GENTRWOMAN (gender transwoman) must be blank or 1,,
a1-fvp-c-019,Error,A1,F - UDS Follow-up Visit,GENNONBI,Conformity,GENNONBI conforms,Q1e. GENNONBI (gender nonbinary) must be blank or 1,,
a1-fvp-c-020,Error,A1,F - UDS Follow-up Visit,GENTWOSPIR,Conformity,GENTWOSPIR conforms,Q1f. GENTWOSPIR (gender two spirit) must be blank or 1,,
a1-fvp-c-022,Error,A1,F - UDS Follow-up Visit,GENOTH,Conformity,GENOTH conforms,Q1g. GENOTH (gender other) must be blank or 1,,
a1-fvp-c-025,Error,A1,F - UDS Follow-up Visit,GENDKN,Conformity,GENDKN conforms,Q1h. GENDKN (gender do not know) must be blank or 1,,
a1-fvp-c-026,Error,A1,F - UDS Follow-up Visit,GENNOANS,Conformity,GENNOANS conforms,Q1i. GENNOANS (gender no answer) must be blank or 1,,
a1-fvp-c-028,Error,A1,F - UDS Follow-up Visit,SEXORNGAY,Conformity,SEXORNGAY conforms,Q2a. SEXORNGAY (sexual orientation gay) must be blank or 1,,
a1-fvp-c-029,Error,A1,F - UDS Follow-up Visit,SEXORNHET,Conformity,SEXORNHET conforms,Q2b. SEXORNHET (sexual orientation straight) must be blank or 1,,
a1-fvp-c-030,Error,A1,F - UDS Follow-up Visit,SEXORNBI,Conformity,SEXORNBI conforms,Q2c. SEXORNBI (sexual orientation bisexual) must be blank or 1,,
a1-fvp-c-031,Error,A1,F - UDS Follow-up Visit,SEXORNTWOS,Conformity,SEXORNTWOS conforms,Q2d. SEXORNTWOS (sexual orientation two spirit) must be blank or 1,,
a1-fvp-c-033,Error,A1,F - UDS Follow-up Visit,SEXORNOTH,Conformity,SEXORNOTH conforms,Q2e. SEXORNOTH (sexual orientation other) must be blank or 1,,
a1-fvp-c-036,Error,A1,F - UDS Follow-up Visit,SEXORNDNK,Conformity,SEXORNDNK conforms,Q2f. SEXORNDNK (sexual orientation unknown) must be blank or 1,,
a1-fvp-c-037,Error,A1,F - UDS Follow-up Visit,SEXORNNOAN,Conformity,SEXORNNOAN conforms,Q2g. SEXORNNOAN (sexual orientation no answer) must be blank or 1,,
a1-fvp-c-040,Error,A1,F - UDS Follow-up Visit,MARISTAT,Conformity,MARISTAT conforms,"Q3. MARISTAT (marital status) must be between 1 and 6, or 9",,
a1-fvp-c-042,Error,A1,F - UDS Follow-up Visit,LIVSITUA,Conformity,LIVSITUA conforms,"Q4. LIVSITUA (living situation) must be between 1 and 6, or 9",,
a1-fvp-c-044,Error,A1,F - UDS Follow-up Visit,RESIDENC,Conformity,RESIDENC conforms,"Q5. RESIDENC (type of residence) must be between 1 and 4, or =6 or =9",,
a1-fvp-c-045,Alert,A1,F - UDS Follow-up Visit,ZIP,Conformity,ZIP conforms,"Q6. ZIP (zip code) must be between 006 and 999, or blank",,
a1-fvp-c-047,Error,A1,F - UDS Follow-up Visit,MEDVA,Conformity,MEDVA conforms,"Q7. MEDVA (VA medical care) must be 0, 1, or 9",,
a1-fvp-c-049,Error,A1,F - UDS Follow-up Visit,EXRTIME,Conformity,EXRTIME conforms,"Q8. EXRTIME (excercise time) must be between 1 and 4, 8, or 9",,
a1-fvp-c-051,Error,A1,F - UDS Follow-up Visit,MEMWORS,Conformity,MEMWORS conforms,"Q9. MEMWORS (memory worsening) must be between 0 and 2, or 9",,
a1-fvp-c-053,Error,A1,F - UDS Follow-up Visit,MEMTROUB,Conformity,MEMTROUB conforms,"Q10. MEMTROUB (memory trouble) must be between 1 and 5, or 9",,
a1-fvp-c-055,Error,A1,F - UDS Follow-up Visit,MEMTEN,Conformity,MEMTEN conforms,"Q11. MEMTEN (memory past ten years) must be between 1 and 5, or 9",,
a1-fvp-c-056,Error,A1,F - UDS Follow-up Visit,ADISTATE,Conformity,ADISTATE conforms,"Q12. ADISTATE (ADI state-decile) must be between 1 and 10, or 884, 885, 886, or 887",,
a1-fvp-c-057,Error,A1,F - UDS Follow-up Visit,ADINAT,Conformity,ADINAT conforms,"Q13. ADINAT (ADI national percentile) must be between 1 and 100, or 884, 885, 886, or 887",,
a1-fvp-m-001,Error,A1,F - UDS Follow-up Visit,FRMDATEA1,Missingness,FRMDATEA1 must be present,Q0a. FRMDATEA1 (A1 form date) cannot be blank,,
a1-fvp-m-003,Error,A1,F - UDS Follow-up Visit,LANGA1,Missingness,LANGA1 must be present,Q0c. LANGA1 (Language of A1 administration) cannot be blank,,
a1-fvp-m-005,Error,A1,F - UDS Follow-up Visit,MODEA1,Missingness,MODEA1 must be present,Q0d. MODEA1 (A1 in person or remote) cannot be blank,,
a1-fvp-m-007,Error,A1,F - UDS Follow-up Visit,RMREASA1,Missingness,RMREASA1 conditionally present,If Q0d. MODEA1 (A1 in person or remote) = 2 (Remote) then Q0d1. RMREASA1 (Reason for remote A1) cannot be blank,,"MODEA1, RMREASA1"
a1-fvp-m-008,Error,A1,F - UDS Follow-up Visit,RMREASA1,Missingness,RMREASA1 conditionally absent,If Q0d. MODEA1 (A1 in person or remote) = 1 (In-person) then Q0d1. RMREASA1 (Reason for remote A1) must be blank,,"MODEA1, RMREASA1"
a1-fvp-m-010,Error,A1,F - UDS Follow-up Visit,RMMODEA1,Missingness,RMMODEA1 conditionally present,If Q0d. MODEA1 (A1 in person or remote) = 2 (Remote) then Q0d1a. RMMODEA1 (Mode of remote A1 administration) cannot be blank,,"MODEA1, RMMODEA1"
a1-fvp-m-011,Error,A1,F - UDS Follow-up Visit,RMMODEA1,Missingness,RMMODEA1 conditionally absent,If Q0d. MODEA1 (A1 in person or remote) = 1 (In-person) then Q0d1a. RMMODEA1 (Mode of remote A1 administration) must be blank,,"MODEA1, RMMODEA1"
a1-fvp-m-013,Error,A1,F - UDS Follow-up Visit,ADMINA1,Missingness,ADMINA1 must be present,Q0e. ADMINA1 (A1 administration) cannot be blank,,
a1-fvp-m-021,Error,A1,F - UDS Follow-up Visit,GENTWOSPIR,Missingness,GENTWOSPIR conditionally blank,If Form A1 IVP Q3c. RACEAIAN (race native american) is blank then Form A1 FVP Q1f. GENTWOSPIR (gender two spirit) must be blank,,"GENTWOSPIR, RACEAIAN[udsv4_ivp]"
a1-fvp-m-023,Error,A1,F - UDS Follow-up Visit,GENOTHX,Missingness,GENOTHX conditionally present,If Q1g. GENOTH (gender other) is 1 then Q1g1. GENOTHX (gender other specify) cannot be blank,,"GENOTH, GENOTHX"
a1-fvp-m-024,Error,A1,F - UDS Follow-up Visit,GENOTHX,Missingness,GENOTHX conditionally blank,If Q1g. GENOTH (gender other) is blank then Q1g1. GENOTHX (gender other specify) must be blank,,"GENOTH, GENOTHX"
