Error Code,Error Type,Form Name,Packet,Variable Name,Type of Check,Name of the Test,Full Test Description,List of form(s) compared in this test,List of variable(s) compared in this test
a1-ivp-c-002,Error,A1,I - UDS Initial Visit (new participants),BIRTHMO,Conformity,BIRTHMO conforms,Q1a. BIRTHMO (birth month) must be between 1 and 12,,
a1-ivp-c-004,Error,A1,I - UDS Initial Visit (new participants),BIRTHYR,Conformity,BIRTHYR conforms,Q1b. BIRTHYR (birth year) must be between 1850 and current year minus 15,,
a1-ivp-c-006,Error,A1,I - UDS Initial Visit (new participants),RACEAIAN,Conformity,RACEAIAN conforms,Q3a. RACEAIAN (race native american) must be blank or 1,,
a1-ivp-c-008,Error,A1,I - UDS Initial Visit (new participants),RACEASIAN,Conformity,RACEASIAN conforms,Q3b. RACEASIAN (race asian) must be blank or 1,,
a1-ivp-c-009,Error,A1,I - UDS Initial Visit (new participants),ETHCHINESE,Conformity,ETHCHINESE conforms,Q3b1. ETHCHINESE (ethnic Chinese) must be blank or 1,,
a1-ivp-c-010,Error,A1,I - UDS Initial Visit (new participants),ETHINDIA,Conformity,ETHINDIA conforms,Q3b2. ETHINDIA (ethnic Asian Indian) must be blank or 1,,
a1-ivp-c-011,Error,A1,I - UDS Initial Visit (new participants),ETHFILIP,Conformity,ETHFILIP conforms,Q3b3. ETHFILIP (ethnic Filipino) must be blank or 1,,
a1-ivp-c-012,Error,A1,I - UDS Initial Visit (new participants),ETHVIETNAM,Conformity,ETHVIETNAM conforms,Q3b4. ETHVIETNAM (ethnic Vietnamese) must be blank or 1,,
a1-ivp-c-013,Error,A1,I - UDS Initial Visit (new participants),ETHKOREAN,Conformity,ETHKOREAN conforms,Q3b5. ETHKOREAN (ethnic Korean) must be blank or 1,,
a1-ivp-c-014,Error,A1,I - UDS Initial Visit (new participants),ETHJAPAN,Conformity,ETHJAPAN conforms,Q3b6. ETHJAPAN (ethnic Japanese) must be blank or 1,,
a1-ivp-c-015,Error,A1,I - UDS Initial Visit (new participants),ETHASNOTH,Conformity,ETHASNOTH conforms,Q3b7. ETHASNOTH (other ethnic Asian) must be blank or 1,,
a1-ivp-c-017,Error,A1,I - UDS Initial Visit (new participants),RACEBLACK,Conformity,RACEBLACK conforms,Q3c. RACEBLACK (race black) must be blank or 1,,
a1-ivp-c-018,Error,A1,I - UDS Initial Visit (new participants),ETHAFAMER,Conformity,ETHAFAMER conforms,Q3c1. ETHAFAMER (ethnic african american) must be blank or 1,,
a1-ivp-c-019,Error,A1,I - UDS Initial Visit (new participants),ETHJAMAICA,Conformity,ETHJAMAICA conforms,Q3c2. ETHJAMAICA (ethnic Jamaician) must be blank or 1,,
a1-ivp-c-020,Error,A1,I - UDS Initial Visit (new participants),ETHHAITIAN,Conformity,ETHHAITIAN conforms,Q3c3. ETHHAITIAN (ethnic Haitian) must be blank or 1,,
a1-ivp-c-021,Error,A1,I - UDS Initial Visit (new participants),ETHNIGERIA,Conformity,ETHNIGERIA conforms,Q3c4. ETHNIGERIA (ethnic Nigerian) must be blank or 1,,
a1-ivp-c-022,Error,A1,I - UDS Initial Visit (new participants),ETHETHIOP,Conformity,ETHETHIOP conforms,Q3c5. ETHETHIOP (ethnic Ethiopian) must be blank or 1,,
a1-ivp-c-023,Error,A1,I - UDS Initial Visit (new participants),ETHSOMALI,Conformity,ETHSOMALI conforms,Q3c6. ETHSOMALI (ethnic Somalian) must be blank or 1,,
a1-ivp-c-024,Error,A1,I - UDS Initial Visit (new participants),ETHBLKOTH,Conformity,ETHBLKOTH conforms,Q3c7. ETHBLKOTH (other black ethnicity) must be blank or 1,,
a1-ivp-c-026,Error,A1,I - UDS Initial Visit (new participants),ETHISPANIC,Conformity,ETHISPANIC conforms,Q3d. ETHISPANIC (hispanic) must be blank or 1,,
a1-ivp-c-027,Error,A1,I - UDS Initial Visit (new participants),ETHMEXICAN,Conformity,ETHMEXICAN conforms,Q3d1. ETHMEXICAN (ethnic Mexican) must be blank or 1,,
a1-ivp-c-028,Error,A1,I - UDS Initial Visit (new participants),ETHPUERTO,Conformity,ETHPUERTO conforms,Q3d2. ETHPUERTO (ethnic Puerto Rican) must be blank or 1,,
a1-ivp-c-029,Error,A1,I - UDS Initial Visit (new participants),ETHSALVA,Conformity,ETHSALVA conforms,Q3d3. ETHSALVA (ethnic Salvadorian) must be blank or 1,,
a1-ivp-c-030,Error,A1,I - UDS Initial Visit (new participants),ETHCUBAN,Conformity,ETHCUBAN conforms,Q3d4. ETHCUBAN (ethnic Cuban) must be blank or 1,,
a1-ivp-c-031,Error,A1,I - UDS Initial Visit (new participants),ETHDOMIN,Conformity,ETHDOMIN conforms,Q3d5. ETHDOMIN (ethnic Dominican) must be blank or 1,,
a1-ivp-c-032,Error,A1,I - UDS Initial Visit (new participants),ETHGUATEM,Conformity,ETHGUATEM conforms,Q3d6. ETHGUATEM (ethnic Guatemalan) must be blank or 1,,
a1-ivp-c-033,Error,A1,I - UDS Initial Visit (new participants),ETHHISOTH,Conformity,ETHHISOTH conforms,Q3d7. ETHHISOTH (other hispanic) must be blank or 1,,
a1-ivp-c-035,Error,A1,I - UDS Initial Visit (new participants),RACEMENA,Conformity,RACEMENA conforms,Q3e. RACEMENA (race middle eastern) must be blank or 1,,
a1-ivp-c-036,Error,A1,I - UDS Initial Visit (new participants),ETHLEBANON,Conformity,ETHLEBANON conforms,Q3e1. ETHLEBANON (ethnic lebanese) must be blank or 1,,
a1-ivp-c-037,Error,A1,I - UDS Initial Visit (new participants),ETHIRAN,Conformity,ETHIRAN conforms,Q3e2. ETHIRAN (ethnic iranian) must be blank or 1,,
